PC1,PC2,label
-2.0753317,25.772543,1
-33.975555,-10.809975,0
14.378629,-1.8021927,0
-0.52206373,18.648184,0
15.1596365,4.269224,1
-14.811772,-12.54036,0
26.614584,7.6196933,1
-11.0330515,-3.3215132,0
-20.632639,24.60303,0
37.239826,8.027083,1
5.4508386,5.4973454,0
-15.5893755,-21.5978,0
24.112978,-18.992737,1
-9.165007,-15.942303,1
-3.263776,-21.141218,1
42.1241,0.005495644,1
34.719116,1.6180984,1
-31.6808,-17.737452,0
9.344381,-4.975103,1
-3.8587873,-7.9471817,1
43.211704,3.6791782,1
38.052822,-8.062161,1
-8.409713,24.692467,0
18.046204,13.792766,1
-13.676585,-7.0841274,0
22.429697,-2.8795946,1
9.323988,20.62134,0
5.502103,-8.265212,1
3.0647428,29.018116,1
-3.3145761,2.7738712,0
-4.02807,-8.251577,1
35.071995,-11.145659,1
33.00568,-15.797257,1
-11.964413,1.0399164,0
-16.215992,-23.567583,1
-3.835639,-3.3146324,0
44.10237,0.45969793,1
8.628171,-7.450432,1
24.492262,-8.969745,1
33.893944,-9.694285,1
-12.88641,-21.71695,1
-14.953302,2.3026407,0
17.72566,6.030867,1
-25.243727,-16.14691,0
26.734665,-26.095358,1
-35.132133,2.086468,0
-30.310638,-19.161263,0
38.522038,-10.2468,1
22.477053,-12.769432,1
39.9472,3.3162186,1
-19.026007,-19.635088,0
-21.248991,-9.035678,1
-15.245008,25.90502,1
-19.935131,27.627138,1
22.487362,-19.424734,1
35.297302,-15.125031,0
39.91626,1.0716347,1
3.1101527,20.457834,1
-2.5763786,3.2837763,1
-16.520292,5.1613708,0
-5.950034,-19.5421,1
21.012327,-10.66723,1
-27.7796,-5.0233755,0
-36.58156,-14.97463,0
24.431099,-4.4539657,1
-8.400548,1.4108577,0
-11.719587,-9.336901,0
13.745974,-16.098398,1
2.8155692,26.24192,0
-32.895927,4.1635723,0
-30.866573,-14.724036,0
43.24138,1.4271374,1
38.853725,2.0132556,1
15.402517,13.258293,1
24.003014,-15.239243,1
1.463578,-1.034676,0
-12.070933,-6.3700347,0
-5.0932145,-0.865922,0
29.048145,0.27642432,1
37.745262,-12.451622,1
-6.733837,13.044666,0
-22.493252,13.075832,0
-3.1952198,29.941704,0
2.898066,-4.038438,1
-18.74337,-15.150999,0
-22.060047,3.0038514,1
1.4102787,0.5923924,1
16.14807,2.9052637,0
-24.352274,-1.0765587,0
-36.471157,-5.8498325,0
6.019923,-16.5254,1
24.893763,-17.042177,0
-12.959296,9.950683,0
-35.020664,8.034649,0
38.837376,-9.024113,1
-0.63548565,3.880791,0
-4.0797915,11.709418,0
25.483774,-23.156216,1
-41.25788,-12.940266,0
-16.407099,-8.078612,1
-8.05301,8.442319,0
41.099052,-7.962705,1
29.891756,2.9913318,1
-14.515202,10.473602,0
15.449186,-18.701977,1
-19.434433,-3.341215,1
21.677153,-9.379745,1
1.841156,-10.019354,1
-1.7603189,27.509823,0
10.71862,22.492,1
-31.379824,-7.5688057,0
0.2594948,31.177425,0
14.062487,-1.1928694,0
-40.384487,-14.66514,0
24.05328,1.2625098,1
-15.964538,-4.6884346,0
23.591423,0.8529697,1
-15.455115,3.2056272,0
16.493132,-9.788745,1
4.8873944,12.931558,1
36.04738,-0.14786333,1
-13.0359955,-23.266844,0
20.677248,-6.5165434,1
17.781656,13.305936,1
22.728533,-14.409553,0
14.352114,-3.0084453,1
-36.600887,-4.5909066,0
-33.764572,-18.424305,0
35.495235,-2.5213697,1
-1.8319404,-14.575403,1
23.406883,18.646318,1
-21.54058,-2.9966002,0
-36.59073,-12.330708,0
38.676685,0.878041,1
15.267477,-6.395097,1
9.873338,-8.412294,1
37.6613,1.6616241,1
11.900696,21.461885,1
-30.555899,-15.973401,0
0.49019584,32.521965,1
26.89997,-5.2134323,1
2.6560314,26.848343,1
10.456254,6.6917777,1
32.080833,-4.8660684,1
-30.624094,-9.289626,0
-30.4228,-21.469707,0
-34.69172,5.1727924,0
-24.700396,-16.242384,0
18.479153,-17.640598,1
29.492954,-4.4041286,1
-8.637985,26.544823,0
-20.903858,25.54388,0
